exemptn_no,mfr_no,mfr_name,report_id,date_of_event,mfr_aware_date,event_type,dev_prob_cd,report_year,report_qtr,initial_report_flag,dev_id,product_code,brand_name,model_no,catalog_no,impl_avail_for_eval,impl_ret_to_mfr
1997044DQY,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00430,,10/22/1999,M,1069,1999,4,I,0684-19-0045,DQX,"GUIDEWIRE-.030"" STIFF ""J"" TIP-TEFLON COATED",,,,
1997044DQY,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00659,,11/06/1999,M,1456,1999,4,I,0684-19-0058,DQX,"GUIDEWIRE-0.020"" NITINOL, SILICONE COATED",,,,
1997044DQY,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00674,,12/03/1999,IN,2203,1999,4,I,0684-19-0058,DQX,"GUIDEWIRE-0.020"" NITINOL, SILICONE COATED",,,,
1997044DQY,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00691,,12/04/1999,M,1316,1999,4,I,0684-19-0058,DQX,"GUIDEWIRE-0.020"" NITINOL, SILICONE COATED",,,,
1999005,1218950,PHILIPS MEDICAL SYSTEMS,M1999-004044,,11/18/1999,M,1183,1999,4,I,M3150A,DRT,"Philips,",M3150A,,,
1999005,1218950,PHILIPS MEDICAL SYSTEMS,M1999-004456,,12/17/1999,M,1019;1183,1999,4,I,M3150A,DRT,"Philips,",M3150A,,,
1999005,1218950,PHILIPS MEDICAL SYSTEMS,M1999-004623,,12/29/1999,M,1183,1999,4,I,M3150A,DRT,"Philips,",M3150A,,,
1999005,1218950,PHILIPS MEDICAL SYSTEMS,M2000-000332,,10/08/1999,M,1183,1999,4,I,M3150A,DRT,"Philips,",M3150A,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00001,,08/01/1999,M,1316,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00003,,08/01/1999,M,1043;1339,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00004,,08/02/1999,M,1052;1621;1746,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00006,,08/02/1999,M,1049;1746,1999,4,I,0684-00-0269,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0269,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00010,,08/07/1999,M,1010,1999,4,I,0784-00-0139,DSP,"True Sheathless DL 9.5 Fr. 34cc IAB,,,",0784-00-0139,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00011,,08/06/1999,M,1010;1339,1999,4,I,0784-00-0123,DSP,,,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00012,,08/05/1999,M,1010;1530,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00013,,08/07/1999,IN,1049;1212;1528,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00017,,08/13/1999,M,1010,1999,4,I,0784-00-0139,DSP,"True Sheathless DL 9.5 Fr. 34cc IAB,,,",0784-00-0139,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00022,,08/12/1999,M,1052;1746,1999,4,I,0684-00-0306,DSP,True Sheathless DL 9.5 Fr. 40cc IAB,0684-00-0306,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00023,,08/12/1999,M,1010;1052;1746,1999,4,I,0684-00-0321,DSP,True Sheathless DL 9.5 Fr. 40cc IAB,0684-00-0321,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00024,,08/12/1999,IN,1010;1049;1746,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00025,,08/12/1999,M,1310;1530,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00031,,09/03/1999,M,1310,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00032,,08/08/1999,M,1052;1530;1746,1999,4,I,0684-00-0206-01,DSP,Stat-DL 9.5 Fr. 34cc IAB,0684-00-0206-01,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00033,,08/08/1999,M,1052,1999,4,I,0684-00-0206-01,DSP,Stat-DL 9.5 Fr. 34cc IAB,0684-00-0206-01,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00034,,08/06/1999,M,1010;1052;1746,1999,4,I,0684-00-0306,DSP,True Sheathless DL 9.5 Fr. 40cc IAB,0684-00-0306,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00035,,08/15/1999,M,1010;1043;1339,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00036,,08/15/1999,M,1052,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00037,,08/15/1999,M,1010;1052;1746,1999,4,I,0684-00-0206-01,DSP,Stat-DL 9.5 Fr. 34cc IAB,0684-00-0206-01,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00039,,08/15/1999,M,1052;1746,1999,4,I,UNKNOWN,DSP,"Unknown,,,",UNKNOWN,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00048,,08/12/1999,M,1010,1999,4,I,UNKNOWN,DSP,"Unknown,,,",UNKNOWN,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00049,,08/13/1999,IN,1010;1530,1999,4,I,0684-00-0307,DSP,True Sheathless DL 9.5 Fr. 34cc IAB,0684-00-0307,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00050,,08/21/1999,M,1049;1530;1746,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00051,,08/21/1999,M,1052;1530,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00053,,08/20/1999,M,1010;1530,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00057,,08/16/1999,IN,1010;1212;1746,1999,4,I,0684-00-0307,DSP,True Sheathless DL 9.5 Fr. 34cc IAB,0684-00-0307,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00063,,08/26/1999,M,1052;1746,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00066,,08/08/1999,M,1052;1530,1999,4,I,0684-00-0306,DSP,True Sheathless DL 9.5 Fr. 40cc IAB,0684-00-0306,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00073,,08/08/1999,M,1052,1999,4,I,UNKNOWN,DSP,"Unknown,,,",UNKNOWN,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00078,,08/27/1999,M,1052;1530;1746,1999,4,I,0684-00-0306,DSP,True Sheathless DL 9.5 Fr. 40cc IAB,0684-00-0306,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00079,,08/27/1999,M,2306,1999,4,I,0684-00-0269,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0269,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00082,,08/23/1999,M,1052;1746,1999,4,I,UNKNOWN,DSP,"Unknown,,,",UNKNOWN,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00083,,08/26/1999,M,1049;1746,1999,4,I,UNKNOWN,DSP,"Unknown,,,",UNKNOWN,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00085,,08/27/1999,M,1043;1456,1999,4,I,0784-00-0141,DSP,,,,,
